"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.918538200E-1,-1.004985496E-1,-4.067798331E-2,9.863214493E0,9.863810358E0
5.942401220E-1,-8.614161611E-2,-4.785645381E-2,9.865608215E0,9.866100348E0
5.966263720E-1,-7.417750359E-2,-5.024927482E-2,9.865608215E0,9.866015039E0
5.990126220E-1,-8.614161611E-2,-4.546362907E-2,9.868000984E0,9.868481684E0
6.013988720E-1,-9.092725813E-2,-3.589234129E-2,9.868000984E0,9.868485165E0
6.037851220E-1,-1.052841991E-1,-2.871387079E-2,9.879964828E0,9.880567507E0
6.061714240E-1,-1.004985496E-1,-4.067798331E-2,9.872786522E0,9.873381810E0
6.085576740E-1,-9.332008660E-2,-5.264209956E-2,9.865608215E0,9.866190009E0
6.109439240E-1,-9.571290761E-2,-3.589234129E-2,9.858428955E0,9.858958905E0
6.133301740E-1,-9.332008660E-2,-5.742774159E-2,9.860821724E0,9.861430508E0
6.157164240E-1,-8.614161611E-2,-4.785645381E-2,9.887143135E0,9.887634196E0
6.181027270E-1,-9.571290761E-2,-3.589234129E-2,9.868000984E0,9.868530420E0
6.204889770E-1,-1.004985496E-1,-4.067798331E-2,9.858428955E0,9.859025110E0
6.228752270E-1,-9.332008660E-2,-4.785645381E-2,9.872786522E0,9.873343536E0
6.252614770E-1,-7.896314561E-2,-5.264209956E-2,9.882357597E0,9.882813266E0
6.276477270E-1,-1.004985496E-1,-4.307080805E-2,9.875179291E0,9.875784580E0
6.300340290E-1,-1.004985496E-1,-5.503492057E-2,9.863214493E0,9.863880014E0
6.324202790E-1,-9.092725813E-2,-5.503492057E-2,9.882357597E0,9.882929135E0
6.348065290E-1,-7.896314561E-2,-5.264209956E-2,9.887143135E0,9.887598583E0
6.371927790E-1,-7.178468257E-2,-4.307080805E-2,9.879964828E0,9.880319486E0
6.395790810E-1,-6.939185411E-2,-5.503492057E-2,9.868000984E0,9.868398426E0
6.419653310E-1,-8.614161611E-2,-4.067798331E-2,9.877572060E0,9.878031427E0
6.443515810E-1,-8.853443712E-2,-5.024927482E-2,9.872786522E0,9.873311351E0
6.467378310E-1,-9.332008660E-2,-3.349951655E-2,9.868000984E0,9.868499090E0
6.491240810E-1,-9.571290761E-2,-2.392822690E-2,9.863214493E0,9.863707906E0
6.515103310E-1,-1.052841991E-1,-3.110669367E-2,9.853643417E0,9.854254969E0
6.538966330E-1,-9.810572863E-2,-4.307080805E-2,9.863214493E0,9.863796427E0
6.562828830E-1,-9.810572863E-2,-6.221338734E-2,9.868000984E0,9.868684748E0
6.586691330E-1,-7.896314561E-2,-5.024927482E-2,9.872786522E0,9.873230164E0
6.610553830E-1,-8.135596663E-2,-4.067798331E-2,9.875179291E0,9.875598185E0
6.634416850E-1,-8.853443712E-2,-5.024927482E-2,9.863214493E0,9.863739832E0
6.658279350E-1,-9.332008660E-2,-6.460621208E-2,9.877572060E0,9.878224152E0
6.682141850E-1,-9.332008660E-2,-6.460621208E-2,9.860821724E0,9.861474924E0
6.706004350E-1,-1.076770201E-1,-4.785645381E-2,9.863214493E0,9.863918324E0
6.729866850E-1,-9.810572863E-2,-3.828516230E-2,9.856036186E0,9.856598794E0
6.753729350E-1,-1.004985496E-1,-4.546362907E-2,9.868000984E0,9.868617447E0
6.777592370E-1,-1.076770201E-1,-3.828516230E-2,9.860821724E0,9.861483923E0
6.801454870E-1,-1.028913707E-1,-4.307080805E-2,9.877572060E0,9.878201836E0
6.825317370E-1,-1.028913707E-1,-5.024927482E-2,9.875179291E0,9.875843136E0
6.849179870E-1,-9.571290761E-2,-4.307080805E-2,9.868000984E0,9.868559139E0
6.873042370E-1,-9.571290761E-2,-4.307080805E-2,9.865608215E0,9.866166505E0
