"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.794520920E-1,-9.332008660E-2,-1.435693651E-1,9.757930756E0,9.759433049E0
6.818378740E-1,-7.896314561E-2,-1.627119333E-1,9.803394318E0,9.805062493E0
6.842236550E-1,-8.614161611E-2,-1.627119333E-1,9.832108498E0,9.833832064E0
6.866094360E-1,-1.124626622E-1,-1.651047617E-1,9.879964828E0,9.881984236E0
6.889952170E-1,-1.052841991E-1,-1.842473447E-1,9.908679008E0,9.910951092E0
6.913809990E-1,-9.092725813E-2,-1.746760458E-1,9.903892517E0,9.905850114E0
6.937667800E-1,-8.614161611E-2,-1.770688742E-1,9.937392235E0,9.939342946E0
6.961525610E-1,-9.810572863E-2,-1.651047617E-1,9.934999466E0,9.936855574E0
6.985383420E-1,-9.332008660E-2,-1.531406492E-1,9.956535339E0,9.958150263E0
7.009241240E-1,-1.076770201E-1,-1.459621787E-1,9.956535339E0,9.958187348E0
7.033099050E-1,-1.004985496E-1,-1.555334777E-1,9.966106415E0,9.967826628E0
7.056956860E-1,-9.810572863E-2,-1.555334777E-1,9.968499184E0,9.970195152E0
7.080814670E-1,-9.810572863E-2,-1.387837082E-1,9.937392235E0,9.938845510E0
7.104672490E-1,-1.100698411E-1,-1.387837082E-1,9.908679008E0,9.910262155E0
7.128529780E-1,-1.124626622E-1,-1.387837082E-1,9.891928673E0,9.893541410E0
7.152388110E-1,-1.220339537E-1,-1.411765367E-1,9.879964828E0,9.881726980E0
7.176245400E-1,-1.363908947E-1,-1.555334777E-1,9.884750366E0,9.886914733E0
7.200103220E-1,-1.244267747E-1,-1.579262912E-1,9.915857315E0,9.917895393E0
7.223961030E-1,-1.244267747E-1,-1.627119333E-1,9.944570541E0,9.946679871E0
7.247818840E-1,-1.148554832E-1,-1.411765367E-1,9.958928108E0,9.960590929E0
7.271676650E-1,-1.148554832E-1,-1.483550072E-1,9.980463028E0,9.982226367E0
7.295534470E-1,-1.459621787E-1,-1.268195957E-1,9.980463028E0,9.982335920E0
